DDI-MedLine.d48.s3|0-20|Diethyl pyrocarbonate|drug_n
DDI-MedLine.d169.s0|580-583|Iron|drug
DDI-MedLine.d169.s0|608-614|ferrous|drug
DDI-MedLine.d169.s0|661-667|calcium|drug
DDI-MedLine.d169.s0|670-673|Iron|drug
DDI-MedLine.d169.s1|0-6|Calcium|drug
DDI-MedLine.d169.s1|83-89|nonheme|drug
DDI-MedLine.d169.s1|95-98|heme|drug_n
DDI-MedLine.d169.s2|28-34|calcium|drug
DDI-MedLine.d169.s2|46-49|iron|drug
DDI-MedLine.d169.s2|123-129|calcium|drug
DDI-MedLine.d169.s3|52-58|calcium|drug
DDI-MedLine.d169.s3|77-83|nonheme|drug
DDI-MedLine.d169.s3|89-89|n|drug
DDI-MedLine.d169.s4|72-75|iron|drug
DDI-MedLine.d169.s4|98-101|Iron|drug
DDI-MedLine.d169.s4|103-113|radioactive|drug
DDI-MedLine.d169.s4|115-121|tracers|drug
DDI-MedLine.d169.s4|147-150|Iron|drug
DDI-MedLine.d169.s4|152-162|radioactive|drug
DDI-MedLine.d169.s4|164-170|tracers|drug
DDI-MedLine.d169.s4|237-247|Radioactive|drug
DDI-MedLine.d169.s4|276-279|iron|drug
DDI-MedLine.d169.s4|293-303|Radioactive|drug
DDI-MedLine.d169.s4|378-388|Radioactive|drug
DDI-MedLine.d169.s4|417-420|iron|drug
DDI-MedLine.d169.s4|434-444|Radioactive|drug
DDI-MedLine.d169.s4|519-529|Radioactive|drug
DDI-MedLine.d169.s4|558-561|iron|drug
DDI-MedLine.d169.s4|575-585|Radioactive|drug
DDI-MedLine.d169.s4|660-670|Radioactive|drug
DDI-MedLine.d169.s5|28-34|calcium|drug
DDI-MedLine.d169.s5|96-99|iron|drug
DDI-MedLine.d169.s5|105-119|ferrous sulfate|drug
DDI-MedLine.d169.s6|33-39|calcium|drug
DDI-MedLine.d169.s6|92-100|heme iron|drug_n
DDI-MedLine.d169.s7|0-6|Calcium|drug
DDI-MedLine.d169.s7|28-43|calcium chloride|drug
DDI-MedLine.d169.s8|0-6|Calcium|drug
DDI-MedLine.d169.s8|43-46|iron|drug
DDI-MedLine.d169.s9|2-8|calcium|drug
DDI-MedLine.d169.s9|55-63|heme iron|drug
DDI-MedLine.d169.s10|53-59|calcium|drug
DDI-MedLine.d169.s10|100-103|iron|drug
DDI-MedLine.d169.s10|157-160|iron|drug
DDI-MedLine.d169.s11|115-121|calcium|drug
DDI-MedLine.d179.s0|32-40|sunitinib|drug
DDI-MedLine.d179.s0|46-54|docetaxel|drug
DDI-MedLine.d179.s1|40-48|sunitinib|drug
DDI-MedLine.d179.s2|66-74|sunitinib|drug
DDI-MedLine.d179.s2|131-139|sunitinib|drug
DDI-MedLine.d179.s2|145-153|docetaxel|drug
DDI-MedLine.d179.s3|84-92|sunitinib|drug
DDI-MedLine.d179.s3|97-105|docetaxel|drug
DDI-MedLine.d179.s5|0-8|Sunitinib|drug
DDI-MedLine.d179.s5|118-126|docetaxel|drug
DDI-MedLine.d179.s5|269-142||drug
DDI-MedLine.d179.s5|315-151||drug
DDI-MedLine.d179.s5|508-257||drug
DDI-MedLine.d179.s5|554-303||drug
DDI-MedLine.d179.s5|747-325||drug
DDI-MedLine.d179.s5|793-334||drug
DDI-MedLine.d179.s6|37-45|sunitinib|drug
DDI-MedLine.d179.s6|51-59|docetaxel|drug
DDI-MedLine.d179.s7|27-35|docetaxel|drug
DDI-MedLine.d179.s7|49-57|sunitinib|drug
DDI-MedLine.d179.s8|102-110|docetaxel|drug
DDI-MedLine.d179.s8|179-187|sunitinib|drug
DDI-MedLine.d179.s10|0-8|Sunitinib|drug
DDI-MedLine.d179.s10|166-174|docetaxel|drug
DDI-MedLine.d179.s10|188-196|sunitinib|drug
DDI-MedLine.d179.s10|213-221|sunitinib|drug
DDI-MedLine.d179.s10|235-243|docetaxel|drug
DDI-MedLine.d179.s10|276-284|Docetaxel|drug
DDI-MedLine.d179.s10|349-357|sunitinib|drug
DDI-MedLine.d179.s10|394-402|docetaxel|drug
DDI-MedLine.d179.s10|408-416|sunitinib|drug
DDI-MedLine.d179.s10|486-494|docetaxel|drug
DDI-MedLine.d179.s10|500-508|sunitinib|drug
DDI-MedLine.d179.s10|573-581|Docetaxel|drug
DDI-MedLine.d179.s10|646-654|sunitinib|drug
DDI-MedLine.d159.s0|21-38|acetyl-l-carnitine|drug
DDI-MedLine.d159.s0|45-61|alpha lipoic acid|drug
DDI-MedLine.d159.s0|93-105|diepoxybutane|drug_n
DDI-MedLine.d159.s1|61-81|1,2:3,4-diepoxybutane|drug_n
DDI-MedLine.d159.s1|84-86|DEB|drug_n
DDI-MedLine.d159.s2|142-144|DEB|drug_n
DDI-MedLine.d159.s3|84-86|DEB|drug_n
DDI-MedLine.d159.s4|58-69|antioxidants|group
DDI-MedLine.d159.s5|161-163|DEB|drug
DDI-MedLine.d159.s6|6-23|acetyl-l-carnitine|drug
DDI-MedLine.d159.s6|116-132|alpha-lipoic acid|drug_n
DDI-MedLine.d159.s7|69-71|DEB|drug_n
DDI-MedLine.d159.s7|236-238|DEB|drug_n
DDI-MedLine.d164.s0|0-8|Lapatinib|drug
DDI-MedLine.d164.s0|19-27|herceptin|brand
DDI-MedLine.d164.s0|162-170|herceptin|brand
DDI-MedLine.d164.s0|305-313|herceptin|brand
DDI-MedLine.d164.s0|448-456|herceptin|brand
DDI-MedLine.d164.s0|591-599|herceptin|brand
DDI-MedLine.d164.s0|734-742|herceptin|brand
DDI-MedLine.d164.s0|877-885|herceptin|brand
DDI-MedLine.d164.s1|41-49|lapatinib|drug
DDI-MedLine.d164.s1|65-73|Herceptin|brand
DDI-MedLine.d164.s1|133-141|lapatinib|drug
DDI-MedLine.d164.s1|167-175|Herceptin|brand
DDI-MedLine.d164.s2|17-25|lapatinib|drug
DDI-MedLine.d164.s2|42-50|Herceptin|brand
DDI-MedLine.d164.s2|111-119|Herceptin|brand
DDI-MedLine.d164.s3|22-30|lapatinib|drug
DDI-MedLine.d164.s3|149-157|Herceptin|brand
DDI-MedLine.d164.s4|56-64|Herceptin|brand
DDI-MedLine.d164.s4|86-94|lapatinib|drug
DDI-MedLine.d164.s5|0-8|Lapatinib|drug
DDI-MedLine.d164.s5|44-52|Herceptin|brand
DDI-MedLine.d164.s5|68-76|Herceptin|brand
DDI-MedLine.d164.s5|191-199|Herceptin|brand
DDI-MedLine.d164.s5|243-251|Herceptin|brand
DDI-MedLine.d164.s5|267-275|Herceptin|brand
DDI-MedLine.d164.s5|398-176||drug
DDI-MedLine.d164.s5|450-458|Herceptin|brand
DDI-MedLine.d164.s5|474-482|Herceptin|brand
DDI-MedLine.d164.s5|613-187||drug
DDI-MedLine.d164.s5|665-673|Herceptin|brand
DDI-MedLine.d164.s5|689-697|Herceptin|brand
DDI-MedLine.d193.s0|0-9|Ticagrelor|drug
DDI-MedLine.d193.s0|12-19|Brilinta|brand
DDI-MedLine.d193.s0|35-45|clopidogrel|drug
DDI-MedLine.d193.s0|48-53|Plavix|brand
DDI-MedLine.d193.s1|21-30|ticagrelor|drug
DDI-MedLine.d193.s1|33-40|Brilinta|brand
DDI-MedLine.d193.s1|64-80|antiplatelet drug|group
DDI-MedLine.d193.s1|105-111|aspirin|brand
DDI-MedLine.d193.s2|21-31|clopidogrel|drug
DDI-MedLine.d193.s2|34-39|Plavix|brand
DDI-MedLine.d193.s2|46-54|prasugrel|drug
DDI-MedLine.d193.s2|57-63|Effient|brand
DDI-MedLine.d193.s3|0-10|Clopidogrel|drug
DDI-MedLine.d43.s1|122-136|Chemical agents|drug
DDI-MedLine.d43.s1|167-173|benzene|drug
DDI-MedLine.d43.s1|176-194|benzene derivatives|drug
DDI-MedLine.d43.s1|197-210|benzo[a]pyrene|drug
DDI-MedLine.d43.s1|213-234|benzo[g,h]fluoranthene|drug
DDI-MedLine.d43.s1|237-251|2-naphthylamine|drug
DDI-MedLine.d43.s1|254-270|2-naphthylacetone|drug
DDI-MedLine.d43.s1|273-291|3-methyl-4-biphenyl|drug
DDI-MedLine.d43.s1|294-317|2-methyl-1-naphthylamine|drug
DDI-MedLine.d43.s1|320-334|2-naphthylamine|drug
DDI-MedLine.d43.s1|337-353|2-naphthylacetone|drug
DDI-MedLine.d43.s1|356-374|3-methyl-4-biphenyl|drug
DDI-MedLine.d43.s1|377-400|2-methyl-1-naphthylamine|drug
DDI-MedLine.d43.s1|403-417|2-naphthylamine|drug
DDI-MedLine.d43.s1|420-436|2-naphthylacetone|drug
DDI-MedLine.d43.s1|439-457|3-methyl-4-biphenyl|drug
DDI-MedLine.d43.s1|460-483|2-methyl-1-naphthylamine|drug
DDI-MedLine.d43.s6|100-118|dioethylnitrosamine|drug
DDI-MedLine.d43.s7|183-195|phenobarbital|drug
DDI-MedLine.d43.s9|84-102|chemical carcinogen|group
DDI-MedLine.d100.s0|13-36|calcium-channel blockers|group
DDI-MedLine.d100.s4|0-8|Adenosine|drug_n
DDI-MedLine.d100.s5|0-28|Slow-channel calcium blockers|group
DDI-MedLine.d100.s5|39-47|verapamil|drug
DDI-MedLine.d100.s5|50-58|diltiazem|drug
DDI-MedLine.d100.s5|64-73|nifedipine|drug
DDI-MedLine.d100.s5|162-170|Verapamil|drug
DDI-MedLine.d100.s5|292-300|Diltiazem|drug
DDI-MedLine.d100.s5|361-369|verapamil|drug
DDI-MedLine.d100.s5|399-407|verapamil|drug
DDI-MedLine.d100.s5|499-507|Diltiazem|drug
DDI-MedLine.d100.s5|536-544|Verapamil|drug
DDI-MedLine.d100.s5|663-671|verapamil|drug
DDI-MedLine.d100.s5|763-771|Diltiazem|drug
DDI-MedLine.d100.s7|35-41|calcium|group
DDI-MedLine.d100.s8|17-32|calcium blockers|group
DDI-MedLine.d73.s0|52-95|1-methyl-4-phenyl-1,2,5,6-tetrahydropyridine|drug_n
DDI-MedLine.d73.s0|98-101|MPTP|drug_n
DDI-MedLine.d73.s0|108-122|methamphetamine|drug
DDI-MedLine.d73.s1|56-59|MPTP|drug
DDI-MedLine.d73.s1|144-158|methamphetamine|drug
DDI-MedLine.d73.s2|21-24|MPTP|drug_n
DDI-MedLine.d73.s2|143-151|pargyline|drug
DDI-MedLine.d73.s2|222-159||drug
DDI-MedLine.d73.s2|249-256|ketamine|drug
DDI-MedLine.d73.s2|304-252||drug
DDI-MedLine.d73.s2|348-299||drug
DDI-MedLine.d73.s2|434-441|ketamine|drug
DDI-MedLine.d73.s2|511-437||drug
DDI-MedLine.d73.s2|550-448||drug
DDI-MedLine.d73.s2|721-459||drug
DDI-MedLine.d73.s2|766-491||drug
DDI-MedLine.d73.s3|4-7|MPTP|drug_n
DDI-MedLine.d73.s3|83-93|amphetamine|drug
DDI-MedLine.d73.s3|147-157|apomorphine|drug
DDI-MedLine.d73.s4|0-14|Methamphetamine|drug
DDI-MedLine.d73.s4|22-25|MPTP|drug_n
DDI-MedLine.d73.s4|107-115|pargyline|drug
DDI-MedLine.d73.s5|110-118|pargyline|drug
DDI-DrugBank.d449.s0|23-39|antifungal agents|group
DDI-DrugBank.d449.s0|49-60|ketoconazole|drug
DDI-DrugBank.d449.s0|65-76|itraconazole|drug
DDI-DrugBank.d449.s1|0-9|Nafazodone|drug
DDI-DrugBank.d449.s1|12-22|fluvoxamine|drug
DDI-DrugBank.d449.s1|25-34|cimetidine|drug
DDI-DrugBank.d449.s1|46-50|Xanax|brand
DDI-DrugBank.d449.s2|0-9|Fluoxetine|drug
DDI-DrugBank.d449.s2|12-14|OCs|group
DDI-DrugBank.d449.s2|17-26|sertraline|drug
DDI-DrugBank.d449.s2|29-37|diltiazem|drug
DDI-DrugBank.d449.s2|40-60|macrolide antibiotics|group
DDI-DrugBank.d8.s0|106-112|ALFENTA|brand
DDI-DrugBank.d8.s0|156-170|CNS depressants|group
DDI-DrugBank.d8.s0|180-191|barbiturates|group
DDI-DrugBank.d8.s0|194-206|tranquilizers|group
DDI-DrugBank.d8.s0|209-215|opioids|group
DDI-DrugBank.d8.s0|221-250|inhalation general anesthetics|group
DDI-DrugBank.d8.s0|253-259|Alcohol|drug_n
DDI-DrugBank.d8.s0|290-299|Ergotamine|drug
DDI-DrugBank.d8.s0|362-380|Phenylpropanolamine|drug
DDI-DrugBank.d8.s0|438-446|Ephedrine|drug
DDI-DrugBank.d8.s0|507-515|Narcotics|drug
DDI-DrugBank.d8.s0|583-596|Antihistamines|drug
DDI-DrugBank.d8.s0|620-636|Antihypertensives|drug
DDI-DrugBank.d8.s0|663-679|antihypertensives|group
DDI-DrugBank.d8.s0|682-689|Morphine|drug
DDI-DrugBank.d8.s1|83-97|Anticholinergic|group
DDI-DrugBank.d8.s1|141-155|anticholinergic|group
DDI-DrugBank.d8.s1|165-179|Anticholinergic|group
DDI-DrugBank.d8.s1|223-237|anticholinergic|group
DDI-DrugBank.d8.s1|247-261|Anticholinergic|group
DDI-DrugBank.d8.s1|305-319|anticholinergic|group
DDI-DrugBank.d8.s1|329-343|Anticholinergic|group
DDI-DrugBank.d8.s1|387-401|anticholinergic|group
DDI-DrugBank.d8.s1|411-425|Anticholinergic|group
DDI-DrugBank.d8.s1|469-483|anticholinergic|group
DDI-DrugBank.d8.s1|493-507|Anticholinergic|group
DDI-DrugBank.d8.s1|551-565|anticholinergic|group
DDI-DrugBank.d8.s1|575-589|Anticholinergic|group
DDI-DrugBank.d8.s1|633-647|anticholinergic|group
DDI-DrugBank.d8.s1|657-671|Anticholinergic|group
DDI-DrugBank.d8.s1|715-729|anticholinergic|group
DDI-DrugBank.d8.s3|160-166|ALFENTA|brand
DDI-DrugBank.d8.s3|201-212|erythromycin|drug
DDI-DrugBank.d8.s3|219-225|ALFENTA|brand
DDI-DrugBank.d8.s3|253-259|ALFENTA|brand
DDI-DrugBank.d8.s4|0-9|Cimetidine|drug
DDI-DrugBank.d8.s4|36-42|ALFENTA|brand
DDI-DrugBank.d8.s5|18-24|ALFENTA|brand
DDI-DrugBank.d8.s5|109-115|ALFENTA|brand
DDI-DrugBank.d416.s0|32-34|PAH|drug_n
DDI-DrugBank.d416.s0|103-114|sulfonamides|group
DDI-DrugBank.d416.s0|117-124|procaine|drug
DDI-DrugBank.d416.s0|130-144|thiazolesulfone|group
DDI-DrugBank.d416.s2|0-9|Probenecid|drug
DDI-DrugBank.d416.s2|69-71|PAH|drug_n
DDI-DrugBank.d416.s3|30-39|probenecid|drug
DDI-DrugBank.d22.s0|0-18|Aminosalicylic acid|drug
DDI-DrugBank.d22.s0|47-53|digoxin|drug
DDI-DrugBank.d22.s0|56-62|Lanoxin|brand
DDI-DrugBank.d22.s0|65-74|Lanoxicaps|brand
DDI-DrugBank.d22.s1|32-38|digoxin|drug
DDI-DrugBank.d22.s1|53-71|aminosalicylic acid|drug
DDI-DrugBank.d22.s1|90-96|digoxin|drug
DDI-DrugBank.d22.s2|0-18|Aminosalicylic acid|drug
DDI-DrugBank.d22.s2|56-66|vitamin B12|drug
DDI-DrugBank.d22.s3|33-43|vitamin B12|drug
DDI-DrugBank.d22.s3|69-87|aminosalicylic acid|drug
DDI-DrugBank.d318.s0|70-83|amphotericin B|drug
DDI-DrugBank.d318.s0|86-106|Antineoplastic agents|group
DDI-DrugBank.d318.s1|0-20|Antineoplastic agents|group
DDI-DrugBank.d318.s1|30-45|nitrogen mustard|drug
DDI-DrugBank.d318.s1|152-129||drug
DDI-DrugBank.d318.s1|274-154||drug
DDI-DrugBank.d318.s1|396-244||drug
DDI-DrugBank.d318.s1|518-269||drug
DDI-DrugBank.d318.s1|640-359||drug
DDI-DrugBank.d318.s2|0-14|Corticosteroids|group
DDI-DrugBank.d318.s2|20-32|Corticotropin|drug
DDI-DrugBank.d318.s2|35-38|ACTH|drug
DDI-DrugBank.d318.s2|57-70|amphotericin B|drug
DDI-DrugBank.d318.s3|66-79|amphotericin B|drug
DDI-DrugBank.d318.s5|0-19|Digitalis glycosides|group
DDI-DrugBank.d318.s5|22-35|Amphotericin B|drug
DDI-DrugBank.d318.s5|72-80|digitalis|group
DDI-DrugBank.d318.s7|0-10|Flucytosine|drug
DDI-DrugBank.d318.s7|51-64|amphotericin B|drug
DDI-DrugBank.d318.s7|130-140|flucytosine|drug
DDI-DrugBank.d318.s8|0-9|Imidazoles|group
DDI-DrugBank.d318.s8|19-30|ketoconazole|drug
DDI-DrugBank.d318.s8|33-42|miconazole|drug
DDI-DrugBank.d318.s8|45-56|clotrimazole|drug
DDI-DrugBank.d318.s8|59-69|fluconazole|drug
DDI-DrugBank.d318.s8|131-144|amphotericin B|drug
DDI-DrugBank.d318.s8|150-159|imidazoles|group
DDI-DrugBank.d318.s8|174-183|imidazoles|group
DDI-DrugBank.d318.s8|217-230|amphotericin B|drug
DDI-DrugBank.d318.s10|46-60|aminoglycosides|group
DDI-DrugBank.d318.s10|63-74|cyclosporine|drug
DDI-DrugBank.d318.s10|81-91|pentamidine|drug
DDI-DrugBank.d318.s12|0-24|Skeletal muscle relaxants|group
DDI-DrugBank.d318.s12|27-40|amphotericin B|drug
DDI-DrugBank.d318.s12|99-123|skeletal muscle relaxants|group
DDI-DrugBank.d318.s12|132-143|tubocurarine|drug
DDI-DrugBank.d318.s12|147-171|Skeletal muscle relaxants|group
DDI-DrugBank.d318.s12|180-191|tubocurarine|drug
DDI-DrugBank.d318.s12|226-237|barbiturates|group
DDI-DrugBank.d318.s12|240-264|Skeletal muscle relaxants|drug
DDI-DrugBank.d318.s12|273-284|tubocurarine|drug
DDI-DrugBank.d318.s12|319-330|barbiturates|group
DDI-DrugBank.d318.s12|333-357|Skeletal muscle relaxants|group
DDI-DrugBank.d318.s12|366-377|tubocurarine|drug
DDI-DrugBank.d318.s12|412-426|chloral hydrate|group
DDI-DrugBank.d318.s12|429-453|Skeletal muscle relaxants|group
DDI-DrugBank.d318.s12|462-473|tubocurarine|drug
DDI-DrugBank.d318.s12|508-515|procaine|group
DDI-DrugBank.d318.s12|518-542|Skeletal muscle relaxants|group
DDI-DrugBank.d318.s12|551-562|tubocurarine|drug
DDI-DrugBank.d318.s14|101-114|amphotericin B|drug
DDI-DrugBank.d357.s0|0-15|5HT3 Antagonists|group
DDI-DrugBank.d357.s0|90-100|apomorphine|drug
DDI-DrugBank.d357.s0|124-134|ondansetron|drug
DDI-DrugBank.d357.s0|160-170|apomorphine|drug
DDI-DrugBank.d357.s0|237-247|ondansetron|drug
DDI-DrugBank.d357.s0|250-260|granisetron|drug
DDI-DrugBank.d357.s0|263-272|dolasetron|drug
DDI-DrugBank.d357.s0|275-286|palonosetron|drug
DDI-DrugBank.d357.s0|293-301|alosetron|drug
DDI-DrugBank.d357.s0|334-318||drug
DDI-DrugBank.d357.s0|527-322||drug
DDI-DrugBank.d357.s0|597-331||drug
DDI-DrugBank.d357.s0|756-418||drug
DDI-DrugBank.d357.s1|0-27|Antihypertensive Medications|group
DDI-DrugBank.d357.s1|33-44|Vasodilators|group
DDI-DrugBank.d357.s1|141-168|antihypertensive medications|group
DDI-DrugBank.d357.s1|173-184|vasodilators|group
DDI-DrugBank.d357.s3|0-7|Dopamine|drug
DDI-DrugBank.d357.s3|28-38|apomorphine|drug
DDI-DrugBank.d357.s3|45-60|dopamine agonist|group
DDI-DrugBank.d357.s3|83-102|dopamine antagonists|group
DDI-DrugBank.d357.s3|117-128|neuroleptics|group
DDI-DrugBank.d357.s3|131-144|phenothiazines|group
DDI-DrugBank.d357.s3|147-160|butyrophenones|group
DDI-DrugBank.d357.s3|163-175|thioxanthenes|group
DDI-DrugBank.d357.s3|181-194|metoclopramide|drug
DDI-DrugBank.d357.s3|231-236|APOKYN|brand
DDI-DrugBank.d357.s3|239-252|Metoclopramide|drug
DDI-DrugBank.d357.s3|312-322|apomorphine|drug
DDI-DrugBank.d357.s3|360-373|metoclopramide|group
DDI-DrugBank.d357.s3|395-400|APOKYN|brand
DDI-DrugBank.d357.s3|402-415|Metoclopramide|drug
DDI-DrugBank.d357.s3|480-488|clozapine|drug
DDI-DrugBank.d357.s3|526-539|metoclopramide|drug
DDI-DrugBank.d357.s3|561-569|clozapine|brand
DDI-DrugBank.d357.s3|571-584|Metoclopramide|drug
DDI-DrugBank.d357.s4|54-65|neuroleptics|group
DDI-DrugBank.d357.s4|91-107|dopamine agonists|group
DDI-DrugBank.d357.s4|161-170|Tetrazolam|drug
DDI-DrugBank.d357.s4|244-255|neuroleptics|group
DDI-DrugBank.d357.s4|282-291|tetrazolam|drug
DDI-DrugBank.d357.s4|343-354|neuroleptics|group
DDI-DrugBank.d357.s4|358-367|Ergotamine|drug
DDI-DrugBank.d357.s4|469-480|neuroleptics|group
DDI-DrugBank.d357.s4|503-512|ergotamine|drug
DDI-DrugBank.d357.s4|518-529|neuroleptics|group
DDI-DrugBank.d357.s4|551-564|Phenothiazines|drug
DDI-DrugBank.d357.s4|592-601|tetrazolam|drug
DDI-DrugBank.d357.s4|605-609|Ergot|drug
DDI-DrugBank.d357.s4|711-722|neuroleptics|group
DDI-DrugBank.d357.s4|745-754|ergotamine|drug
DDI-DrugBank.d357.s5|82-92|apomorphine|drug
DDI-DrugBank.d357.s6|74-79|APOKYN|brand
DDI-DrugBank.d357.s6|103-118|Laboratory Tests|drug
DDI-DrugBank.d357.s6|164-169|APOKYN|drug
DDI-DrugBank.d357.s6|172-174|Lab|drug
DDI-DrugBank.d357.s6|240-178||drug
DDI-DrugBank.d357.s6|308-229||drug
DDI-DrugBank.d357.s6|376-239||drug
DDI-DrugBank.d357.s6|444-290||drug
DDI-DrugBank.d357.s6|512-300||drug
DDI-DrugBank.d357.s6|580-351||drug
DDI-DrugBank.d357.s6|648-361||drug
DDI-DrugBank.d357.s6|716-412||drug
DDI-DrugBank.d357.s6|784-422||drug
DDI-DrugBank.d357.s6|852-473||drug
DDI-DrugBank.d253.s0|0-30|Beta-adrenergic blocking agents|group
DDI-DrugBank.d253.s0|74-83|arbutamine|drug
DDI-DrugBank.d253.s1|0-30|Beta-adrenergic blocking agents|group
DDI-DrugBank.d253.s1|91-100|arbutamine|drug
DDI-DrugBank.d253.s1|228-237|arbutamine|drug
DDI-DrugBank.d253.s1|368-377|arbutamine|drug
DDI-DrugBank.d253.s1|508-517|arbutamine|drug
DDI-DrugBank.d253.s1|648-657|arbutamine|drug
DDI-DrugBank.d253.s1|788-797|arbutamine|drug
DDI-DrugBank.d253.s2|0-20|Antiarrhythmic agents|group
DDI-DrugBank.d253.s2|40-49|flecainide|drug
DDI-DrugBank.d253.s2|52-60|lidocaine|drug
DDI-DrugBank.d253.s2|66-74|quinidine|drug
DDI-DrugBank.d253.s2|98-107|arbutamine|drug
DDI-DrugBank.d253.s3|0-14|Antidepressants|group
DDI-DrugBank.d253.s3|17-25|tricyclic|group
DDI-DrugBank.d253.s3|29-36|atropine|drug
DDI-DrugBank.d253.s3|47-68|anticholinergic agents|group
DDI-DrugBank.d253.s3|74-93|digitalis glycosides|group
DDI-DrugBank.d253.s3|116-125|arbutamine|drug
DDI-DrugBank.d105.s0|0-13|Anticoagulants|group
DDI-DrugBank.d105.s0|25-44|coumarin derivatives|group
DDI-DrugBank.d105.s0|47-68|indandione derivatives|group
DDI-DrugBank.d105.s0|75-105|platelet aggregation inhibitors|group
DDI-DrugBank.d105.s0|115-150|nonsteroidal anti-inflammatory drugs|group
DDI-DrugBank.d105.s0|153-158|NSAIDs|group
DDI-DrugBank.d105.s0|166-172|aspirin|brand
DDI-DrugBank.d105.s0|245-253|ardeparin|drug
DDI-DrugBank.d509.s0|56-67|aripiprazole|drug
DDI-DrugBank.d509.s0|98-104|ABILIFY|brand
DDI-DrugBank.d509.s0|168-174|alcohol|drug
DDI-DrugBank.d509.s2|35-46|aripiprazole|drug
DDI-DrugBank.d509.s2|99-121|antihypertensive agents|group
DDI-DrugBank.d509.s3|36-42|ABILIFY|brand
DDI-DrugBank.d509.s3|44-55|Aripiprazole|drug
DDI-DrugBank.d509.s4|0-11|Aripiprazole|drug
DDI-DrugBank.d509.s5|19-30|aripiprazole|drug
DDI-DrugBank.d509.s6|43-54|aripiprazole|drug
DDI-DrugBank.d509.s7|31-43|carbamazepine|drug
DDI-DrugBank.d509.s7|73-84|aripiprazole|drug
DDI-DrugBank.d509.s8|26-37|ketoconazole|drug
DDI-DrugBank.d509.s8|55-63|quinidine|drug
DDI-DrugBank.d509.s8|66-75|fluoxetine|drug
DDI-DrugBank.d509.s8|81-90|paroxetine|drug
DDI-DrugBank.d509.s8|105-116|aripiprazole|drug
DDI-DrugBank.d509.s9|0-11|Ketoconazole|drug
DDI-DrugBank.d509.s9|34-45|ketoconazole|drug
DDI-DrugBank.d509.s9|100-111|aripiprazole|drug
DDI-DrugBank.d509.s9|134-145|aripiprazole|drug
DDI-DrugBank.d509.s10|23-34|ketoconazole|drug
DDI-DrugBank.d509.s11|35-46|ketoconazole|drug
DDI-DrugBank.d509.s11|53-64|aripiprazole|drug
DDI-DrugBank.d509.s11|74-85|aripiprazole|drug
DDI-DrugBank.d509.s12|35-46|itraconazole|drug
DDI-DrugBank.d509.s13|19-30|erythromycin|drug
DDI-DrugBank.d509.s14|69-80|aripiprazole|drug
DDI-DrugBank.d509.s15|0-8|Quinidine|drug
DDI-DrugBank.d509.s15|54-65|aripiprazole|drug
DDI-DrugBank.d509.s15|72-80|quinidine|drug
DDI-DrugBank.d509.s15|159-170|aripiprazole|drug
DDI-DrugBank.d509.s15|228-246|dehydroaripiprazole|drug_n
DDI-DrugBank.d509.s16|0-11|Aripiprazole|drug
DDI-DrugBank.d509.s16|102-110|quinidine|drug
DDI-DrugBank.d509.s16|117-128|aripiprazole|drug
DDI-DrugBank.d509.s17|48-57|fluoxetine|drug
DDI-DrugBank.d509.s17|62-71|paroxetine|drug
DDI-DrugBank.d509.s18|69-80|aripiprazole|drug
DDI-DrugBank.d509.s19|0-12|Carbamazepine|drug
DDI-DrugBank.d509.s19|35-47|carbamazepine|drug
DDI-DrugBank.d509.s19|93-104|aripiprazole|drug
DDI-DrugBank.d509.s19|188-199|aripiprazole|drug
DDI-DrugBank.d509.s19|228-247|dehydro-aripiprazole|drug_n
DDI-DrugBank.d509.s20|5-17|carbamazepine|drug
DDI-DrugBank.d509.s20|31-42|aripiprazole|drug
DDI-DrugBank.d509.s20|53-64|aripiprazole|drug
DDI-DrugBank.d509.s22|5-17|carbamazepine|drug
DDI-DrugBank.d509.s22|62-73|aripiprazole|drug
DDI-DrugBank.d509.s23|36-45|famotidine|drug
DDI-DrugBank.d509.s23|48-56|valproate|drug
DDI-DrugBank.d509.s23|62-68|lithium|drug
DDI-DrugBank.d509.s23|106-117|aripiprazole|drug
DDI-DrugBank.d509.s23|172-172| |drug
DDI-DrugBank.d509.s23|203-214|aripiprazole|drug
DDI-DrugBank.d509.s23|255-264|famotidine|drug
DDI-DrugBank.d509.s23|267-275|valproate|drug
DDI-DrugBank.d509.s23|281-287|lithium|drug
DDI-DrugBank.d509.s23|289-289| |drug
DDI-DrugBank.d509.s23|311-322|aripiprazole|drug
DDI-DrugBank.d509.s23|363-372|famotidine|drug
DDI-DrugBank.d509.s23|375-383|valproate|drug
DDI-DrugBank.d509.s23|389-395|lithium|drug
DDI-DrugBank.d509.s23|397-397| |drug
DDI-DrugBank.d509.s23|409-420|aripiprazole|drug
DDI-DrugBank.d509.s23|461-470|famotidine|drug
DDI-DrugBank.d509.s23|473-481|valproate|drug
DDI-DrugBank.d509.s24|14-20|ABILIFY|brand
DDI-DrugBank.d509.s24|44-55|Aripiprazole|drug
DDI-DrugBank.d509.s25|46-57|aripiprazole|drug
DDI-DrugBank.d509.s25|110-125|dextromethorphan|drug
DDI-DrugBank.d509.s25|137-144|warfarin|drug
DDI-DrugBank.d509.s25|157-166|omeprazole|drug
DDI-DrugBank.d509.s25|169-176|warfarin|drug
